key	zh-Hans
Act Boss Box 1	幕 Boss 宝箱 1
Act Boss Box Lv20	幕 Boss 宝箱 Lv20
Act Boss Box Lv30	幕 Boss 宝箱 Lv30
Act Boss Box Lv40	幕 Boss 宝箱 Lv40
Act Boss Box Lv45	幕 Boss 宝箱 Lv45
Act Boss Box Lv50	幕 Boss 宝箱 Lv50
Act Boss Box Lv60	幕 Boss 宝箱 Lv60
Act Boss Box Lv65	幕 Boss 宝箱 Lv65
Act Boss Box Lv70	幕 Boss 宝箱 Lv70
Act Boss Box Lv85	幕 Boss 宝箱 Lv85
Act Boss Box Lv90	幕 Boss 宝箱 Lv90
ItemDescription_110001	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_110002	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_110003	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_110004	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_110005	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_111001	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_111002	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_111003	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_111004	常见的基础装饰材料。用于装饰物品,根据装备类型授予微小的属性提升。
ItemDescription_112001	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_112002	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_112003	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_112004	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_112005	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_113001	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_113002	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_113003	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_113004	基础装饰材料。用于装饰物品,根据装备类型授予属性提升。
ItemDescription_114001	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_114002	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_114003	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_114004	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_115001	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_115002	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_115003	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_115004	中级装饰材料。用于装饰物品,根据装备类型授予特殊的属性提升。
ItemDescription_116001	高级装饰材料。用于装饰物品,根据装备类型授予强力的属性提升。
ItemDescription_116002	高级装饰材料。用于装饰物品,根据装备类型授予强力的属性提升。
ItemDescription_116003	高级装饰材料。用于装饰物品,根据装备类型授予强力的属性提升。
ItemDescription_116004	高级装饰材料。用于装饰物品,根据装备类型授予强力的属性提升。
ItemDescription_117001	高级装饰材料。用于装饰物品,根据装备类型授予强力的属性提升。
ItemDescription_117002	高级装饰材料。用于装饰物品,根据装备类型授予强力的属性提升。
ItemDescription_118001	顶级装饰材料。用于装饰物品,根据装备类型授予巨大的属性提升。
ItemDescription_118002	顶级装饰材料。用于装饰物品,根据装备类型授予巨大的属性提升。
ItemDescription_119001	顶级装饰材料。用于装饰物品,根据装备类型授予巨大的属性提升。
ItemDescription_119002	顶级装饰材料。用于装饰物品,根据装备类型授予巨大的属性提升。
ItemDescription_120001	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_120002	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_120003	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_121001	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_121002	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_121003	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_121004	常见的基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种微小属性提升中的一种。
ItemDescription_122001	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_122002	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_122003	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_122004	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_123001	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_123002	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_123003	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
