# TaskBarHeroSpeed market top lock list
# generated_at_utc=2026-06-30T02:27:40+00:00
# source_market=https://raw.githubusercontent.com/WarmBed/TBH-DPS-dashboard/data/market.json
# market_built_at=1782784288103
# limit=100
# item_ids=195
item_id	price_cents	rank	market_hash	name_zh_hans
508141	148101	1	Fighter's Helmet (Divine) A	战士头盔 (神圣) A
508142	148101	1	Fighter's Helmet (Divine) A	战士头盔 (神圣) A
408141	22276	2	Radiant Shield (Divine) A	光辉盾 (神圣) A
408142	22276	2	Radiant Shield (Divine) A	光辉盾 (神圣) A
518171	22165	3	Dimensional Armor (Divine) A	次元铠甲 (神圣) A
518172	22165	3	Dimensional Armor (Divine) A	次元铠甲 (神圣) A
509141	11139	4	Fighter's Helmet (Cosmic) A	战士头盔 (宇宙) A
509142	11139	4	Fighter's Helmet (Cosmic) A	战士头盔 (宇宙) A
417171	11026	5	Dimensional Arrow (Celestial) A	次元箭 (天界) A
417172	11026	5	Dimensional Arrow (Celestial) A	次元箭 (天界) A
527171	10113	6	Dimensional Gloves (Celestial) A	次元手套 (天界) A
527172	10113	6	Dimensional Gloves (Celestial) A	次元手套 (天界) A
537141	8269	7	Shine Boots (Celestial) A	闪光靴 (天界) A
537142	8269	7	Shine Boots (Celestial) A	闪光靴 (天界) A
160007	5690	8	Kingdom 100th Anniversary Coin	王国百年纪念币
117001	4329	9	Celestial Pearl	天界珍珠
327141	4009	10	Sacred Staff (Celestial) A	神圣法杖 (天界) A
327142	4009	10	Sacred Staff (Celestial) A	神圣法杖 (天界) A
407171	2225	11	Dimensional Shield (Celestial) A	次元盾 (天界) A
407172	2225	11	Dimensional Shield (Celestial) A	次元盾 (天界) A
606171	2052	12	Ethereal Amulet (Beyond) A	以太护符 (超凡) A
606172	2052	12	Ethereal Amulet (Beyond) A	以太护符 (超凡) A
636171	1391	13	Ethereal Bracer (Beyond) A	以太腕甲 (超凡) A
636172	1391	13	Ethereal Bracer (Beyond) A	以太腕甲 (超凡) A
616171	1186	14	Ethereal Earring (Beyond) A	虚灵耳环 (超凡) A
616172	1186	14	Ethereal Earring (Beyond) A	虚灵耳环 (超凡) A
147002	1077	15	Sunstone	太阳石
147001	1059	16	Moonstone	月长石
606111	779	17	Emerald Amulet (Beyond) A	翡翠护符 (超凡) A
606112	779	17	Emerald Amulet (Beyond) A	翡翠护符 (超凡) A
606141	770	18	Eclipse Amulet (Beyond) A	日食护身符 (超凡) A
606142	770	18	Eclipse Amulet (Beyond) A	日食护身符 (超凡) A
626171	762	19	Ethereal Ring (Beyond) A	以太戒指 (超凡) A
626172	762	19	Ethereal Ring (Beyond) A	以太戒指 (超凡) A
626111	709	20	Emerald Ring (Beyond) A	翡翠戒指 (超凡) A
626112	709	20	Emerald Ring (Beyond) A	翡翠戒指 (超凡) A
446071	709	21	Iron Bolt (Beyond) A	铁制弩箭 (超凡) A
446072	709	21	Iron Bolt (Beyond) A	铁制弩箭 (超凡) A
446171	637	22	Dimensional Bolt (Beyond) A	次元弩箭 (超凡) A
446172	637	22	Dimensional Bolt (Beyond) A	次元弩箭 (超凡) A
456071	600	23	Battle Hatchet (Beyond) A	战斗手斧 (超凡) A
456072	600	23	Battle Hatchet (Beyond) A	战斗手斧 (超凡) A
636071	583	24	Obsidian Bracer (Beyond) A	黑曜石腕甲 (超凡) A
636072	583	24	Obsidian Bracer (Beyond) A	黑曜石腕甲 (超凡) A
606091	555	25	Ruby Pendant (Beyond) A	红宝石吊坠 (超凡) A
606092	555	25	Ruby Pendant (Beyond) A	红宝石吊坠 (超凡) A
416171	548	26	Dimensional Arrow (Beyond) A	次元箭 (超凡) A
416172	548	26	Dimensional Arrow (Beyond) A	次元箭 (超凡) A
616141	541	27	Celestial Earring (Beyond) A	天界耳环 (超凡) A
616142	541	27	Celestial Earring (Beyond) A	天界耳环 (超凡) A
626141	518	28	Eclipse Ring (Beyond) A	蚀月戒指 (超凡) A
626142	518	28	Eclipse Ring (Beyond) A	蚀月戒指 (超凡) A
446091	503	29	Rune Bolt (Beyond) A	符文弩箭 (超凡) A
446092	503	29	Rune Bolt (Beyond) A	符文弩箭 (超凡) A
425041	484	30	Frozen Orb (Arcana) A	冰冻法球 (至宝) A
425042	484	30	Frozen Orb (Arcana) A	冰冻法球 (至宝) A
446111	468	31	Fate Bolt (Beyond) A	命运弩箭 (超凡) A
446112	468	31	Fate Bolt (Beyond) A	命运弩箭 (超凡) A
456171	461	32	Dimensional Hatchet (Beyond) A	次元手斧 (超凡) A
456172	461	32	Dimensional Hatchet (Beyond) A	次元手斧 (超凡) A
606071	440	33	Moonstone Pendant (Beyond) A	月光石吊坠 (超凡) A
606072	440	33	Moonstone Pendant (Beyond) A	月光石吊坠 (超凡) A
616111	417	34	Sapphire Earring (Beyond) A	蓝宝石耳环 (超凡) A
616112	417	34	Sapphire Earring (Beyond) A	蓝宝石耳环 (超凡) A
455051	407	35	War Hatchet (Arcana) A	战用手斧 (至宝) A
455052	407	35	War Hatchet (Arcana) A	战用手斧 (至宝) A
346071	391	36	Iron Crossbow (Beyond) A	铁制弩 (超凡) A
346072	391	36	Iron Crossbow (Beyond) A	铁制弩 (超凡) A
416111	358	37	Fate Arrow (Beyond) A	命运之箭 (超凡) A
416112	358	37	Fate Arrow (Beyond) A	命运之箭 (超凡) A
636091	357	38	Crimson Bracer (Beyond) A	绯红腕甲 (超凡) A
636092	357	38	Crimson Bracer (Beyond) A	绯红腕甲 (超凡) A
616071	352	39	Emerald Earring (Beyond) A	祖母绿耳环 (超凡) A
616072	352	39	Emerald Earring (Beyond) A	祖母绿耳环 (超凡) A
445071	347	40	Iron Bolt (Arcana) A	铁制弩箭 (至宝) A
445072	347	40	Iron Bolt (Arcana) A	铁制弩箭 (至宝) A
416071	328	41	Gale Arrow (Beyond) A	疾风箭 (超凡) A
416072	328	41	Gale Arrow (Beyond) A	疾风箭 (超凡) A
445041	319	42	Barbed Bolt (Arcana) A	倒刺弩箭 (至宝) A
445042	319	42	Barbed Bolt (Arcana) A	倒刺弩箭 (至宝) A
456091	306	43	Elite Hatchet (Beyond) A	精英手斧 (超凡) A
456092	306	43	Elite Hatchet (Beyond) A	精英手斧 (超凡) A
626071	291	44	Amber Ring (Beyond) A	琥珀戒指 (超凡) A
626072	291	44	Amber Ring (Beyond) A	琥珀戒指 (超凡) A
616091	285	45	Tiger Eye Earring (Beyond) A	虎眼耳环 (超凡) A
616092	285	45	Tiger Eye Earring (Beyond) A	虎眼耳环 (超凡) A
316171	257	46	Shadow Bow (Beyond) A	暗影之弓 (超凡) A
316172	257	46	Shadow Bow (Beyond) A	暗影之弓 (超凡) A
416141	250	47	Haste Arrow (Beyond) A	迅捷箭 (超凡) A
416142	250	47	Haste Arrow (Beyond) A	迅捷箭 (超凡) A
456111	243	48	Mystic Hatchet (Beyond) A	神秘手斧 (超凡) A
456112	243	48	Mystic Hatchet (Beyond) A	神秘手斧 (超凡) A
